idioma,año,autor,título,editorial
alemán,2011,Leonie Swann,Garou,Am Oved
,2013,Hans Keilson,Der Tod des Widersachers [La muerte del adversario],Keter
,2013,Christopher Kloeble,Meistens alles sehr schnell [A menudo alles muy rápido],Keter
,2016,Robert Walser,Geschwister Tanner [Los hermanos Tanner],Am Oved
,2017,Benedict Wells,Vom Ende der Einsamkeit [El fin de la soledad],Hakibbutz Hameuchad
,2018,Sibylle Berg,Vielen Dank für das Leben [Muchas gracias por la vida],Am Oved
,2018,Jean Fischer,Das heutige Palästina [Palestina de hoy],Carmel
,2019,Leonie Swann,Gray,Am Oved
,2021,Hans Robert Grimm,Schlump,Afarsemon
,2021,Benedict Wells,Fast genial [Casi genial],Hakibbutz Hameuchad
español,2009,Daniel Gutman,El amor judío de Mussolini,Zmora-Bitan
,2010,Joseph Gelinek,La décima sinfonía,Zmora-Bitan
,2011,Bernardo Atxaga,El hombre solo,Zmora-Bitan
,2012,Carlos Ruíz Zafón,El palacio de la medianoche,Zmora-Bitan
,2013,Carlos Ruíz Zafón,Las luces de septiembre,Zmora-Bitan
,2016,Felisberto Hernández,"""El balcón""",Nine Lives Press
,2017,Sergio Bizzio,Diez días en Re,Nine Lives Press
,2017,Mario Levrero,Dejen todo en mis manos,Nine Lives Press
,2017,Mario Levrero,El discurso vacío,Nine Lives Press
,2019,Martín Kohan,Cuentas pendientes,Nine Lives Press
,2022,Alejandro Jodorowsky,Psicomagia,Prag
francés,2013,Victor Hugo,Notre-Dame de Paris,Penn
,2017,Jean Echenoz,Les grandes blondes [Rubias peligrosas],Locus
,2018,Laurent Binet,La séptima función del lenguaje [La septième fonction du langage],Zmora-Bitan
,2021,Agota Kristof,L'analphabète [La analfabeta],Nine Lives Press
,2022,Alejandro Jodorowsky,Le théâtre de la guérison [Psicomagia],Prag
inglés,2013,George Moore,The Singular Life of Albert Nobbs [La singular vida de Albert Nobbs],Zikit
,2013,Niall Ferguson,Civilization: The West and the Rest [Civilización: Occidente y el resto],Am Oved
,2015,Claire Keegan,Walk the Blue Fields [Recorre los campos azules],Zikit
,2017,Jonathan Franzen,Purity [Pureza],Am Oved
,2018,Jonathan Franzen,The Twenty-Seventh City [Ciudad veintisiete],Am Oved
,2019,George Orwell,Nineteen Eighty-Four [1984],Am Oved
,2019,A. S. Byatt,Possession [Posesión [los poemas]],Zmora-Bitan
,2019,Henry James,The Diary of a Man of Fifty [Diario de un hombre de cincuenta años],Nine Lives Press
,2019,James W. Heisig; Erez Volk,Remembering the Kanji I [Kanji para recordar I],MeMo
,2021,Paul Beatty,The White Boy Shuffle [Baile de blancos],Am Oved
,2021,Joshua Cohen,The Netanyahus [Los Netanyahus],Hava Laor
,2021,Ian McEwan,The Cockroach [La cucaracha],Am Oved
,2022,Stephen Haggard,I'll Go to Bed at Noon [Me acostaré al mediodía],Afarsemon
,2022,Jack London,"""La casa de Mapuhi""",Nine Lives Press
,2022,Ronald Firbank,The Flower Beneath the Foot [La flor pisoteada],Afarsemon
portugués,2016,João Guimarães Rosa,Grande Sertão: Veredas [Gran Sertón: Veredas],Hakibbutz Hameuchad
,2019,Bruno Vieira Amaral,As primeiras coisas [Las primeras cosas],Penn
,2020,Tiago Salazar,A Escada de Istambul [La escalera de Estambul],Zmora-Bitan
,2022,Fernando Pessoa,A palavra realidade não ter sentido [Manifiestos],Hava Laor
ruso,2009,Antón Chéjov,Чайка [La gaviota],Beersheba Theater
