author_he	author_lat	author_es	lg	title_he	title_en	title_es	title_de	title_pt	title_fr	title_ru	publisher_he	year	in_he	in_lat
ג׳ורג׳ אורוול	George Orwell		en	1984	Nineteen Eighty-Four	1984					עם עובד	2019		
ברנרדו אצ׳אגה	Bernardo Atxaga		es	האיש הבודד	The Lone Man	El hombre solo					זמורה־ביתן	2011		
פליסברטו ארננדס	Felisberto Hernández		es	המרפסת	The Balcony	El balcón					תשע נשמות	2016	מוזרים	Weirds
ז׳אן אשנוז	Jean Echenoz		fr	בלונדיניות גבוהות	Big Blondes	Rubias peligrosas			Les grandes blondes		לוקוס	2017		
א״ס באייט	A. S. Byatt		en	רכוש רדוף [השירים]	Possession {the poems}	Posesión {los poemas}					זמורה־ביתן	2019		
פול בייטי	Paul Beatty		en	ריקוד של לבנים	The White Boy Shuffle	The White Boy Shuffle					עם עובד	2021		
לורן בינה	Laurent Binet		fr	הפונקציה השביעית של השפה	The Seventh Function of Language	La séptima función del lenguaje			La septième fonction du langage		זמורה־ביתן	2018		
סרחיו ביסיו	Sergio Bizzio		es	עשרה ימים ברֶה	Ten Days in Re	Diez días en Re					תשע נשמות	2017		
סיביל ברג	Sibylle Berg		de	תודה רבה על החיים	Thank You For This Life	Muchas gracias por la vida	Vielen Dank für das Leben				עם עובד	2018		
ברונו ויירה אמרל	Bruno Vieira Amaral		pt	הדברים הראשונים	The Former Things	Las primeras cosas		As primeiras coisas			פן ספרים	2019		
הנרי ג׳יימס	Henry James		en	יומנו של בן חמישים	The Diary of a Man of Fifty	Diario de un hombre de cincuenta años					תשע נשמות	2019		
דניאל גוטמן	Daniel Gutman		es	אהובתו היהודייה של מוסוליני	Mussolini's Jewish Love	El amor judío de Mussolini					זמורה־ביתן	2009		
יוזף גלינק	Joseph Gelinek		es	הסימפוניה העשירית	The Tenth Symphony	La décima sinfonía					זמורה־ביתן	2010		
סטיבן האגרד	Stephen Haggard		en	אשכב לישון בצוהריים	I'll Go to Bed at Noon	Me acostaré al mediodía					אפרסמון	2022		
ויקטור הוגו	Victor Hugo		fr	הגיבן מנוטרדאם	The Hunchback of Notre Dame	Notre-Dame de Paris			Notre-Dame de Paris		פן ספרים	2013		
ג׳יימס ו׳ הייזיג, ארז וולק	James W. Heisig, Erez Volk		en	קאנג׳י מא׳ ועד ת׳	Remembering the Kanji I	Kanji para recordar I					מֶמוֹ ספרים	2019		
הנס רוברט גרים	Hans Robert Grimm		de	שלומפ	Schlump	Schlump	Schlump				אפרסמון	2021		
רוברט ואלזר	Robert Walser		de	האחים טאנר	The Tanners	Los hermanos Tanner	Geschwister Tanner				עם עובד	2016		
בנדיקט ולס	Benedict Wells		de	על סוף הבדידות	The End of Loneliness	El fin de la soledad	Vom Ende der Einsamkeit				הקיבוץ המאוחד	2017		
בנדיקט ולס	Benedict Wells		de	כמעט גאוני	Almost Ingenius	Casi genial	Fast genial				הקיבוץ המאוחד	2021		
ז׳ואאו גימראס רוזה	João Guimarães Rosa		pt	הסֶרטָאוּ הגדול	Devil to Pay in the Backlands	Gran Sertón: Veredas		Grande Sertão: Veredas			הקיבוץ המאוחד	2016		
אלחנדרו חודורובסקי	Alejandro Jodorowsky		es	פסיכומגיה (חלק ב׳)	Psychomagic	Psicomagia					פראג	2022		
אלחנדרו חודורובסקי	Alejandro Jodorowsky		fr	פסיכומגיה (חלק א׳)	Psychomagic	Psicomagia			Le théâtre de la guérison		פראג	2022		
ג׳ושוע כהן	Joshua Cohen		en	הנתניהוז	The Netanyahus	Los Netanyahus					הבה לאור	2021		
מריו לֶברֵרוֹ	Mario Levrero		es	סמוך עלי	Leave Everything to Me	Dejen todo en mis manos					תשע נשמות	2017		
מריו לֶברֵרוֹ	Mario Levrero		es	הנאום הריק	The Empty Speech	El discurso vacío					תשע נשמות	2017		
ג׳ק לונדון	Jack London		en	הבית של מפוהי	The House of Mapuhi	La casa de Mapuhi					תשע נשמות	2022	אוסף סיפורי ים ונהר אחד	Sea Tales and a River
ג׳ורג׳ מוּר	George Moore		en	חייו המשונים של אלברט נובס	The Singular Life of Albert Nobbs	La singular vida de Albert Nobbs					זיקית	2013		
איאן מקיואן	Ian McEwan		en	הג׳וק	The Cockroach	La cucaracha					עם עובד	2021		
קרלוס רואיס סאפון	Carlos Ruíz Zafón		es	ארמון חצות	The Midnight Palace	El palacio de la medianoche					זמורה־ביתן	2012		
קרלוס רואיס סאפון	Carlos Ruíz Zafón		es	אורות ספטמבר	September Lights	Las luces de septiembre					זמורה־ביתן	2013		
לאוני סוואן	Leonie Swann		de	גארוּ	Garou	Garou	Garou				עם עובד	2011		
לאוני סוואן	Leonie Swann		de	גריי	Gray	Gray	Gray				עם עובד	2019		
טיאגו סלזר	Tiago Salazar		pt	מדרגות איסטנבול	The Camondo Stairs	La escalera de Estambul		A Escada de Istambul			זמורה־ביתן	2020		
רונלד פירבנק	Ronald Firbank		en	הפרח שתחת הרגל	The Flower Beneath the Foot	La flor pisoteada					אפרסמון	2022		
ז׳אן (יונה) פישר	Jean Fischer		de	פלשתינה היום: יומן מסע מאביב 1907	Palestine Today	Le palestina de hoy	Das heutige Palästina				כרמל	2018		
פרננדו פסואה	Fernando Pessoa		pt	למילה מציאות אין משמעות: מניפסטים	The Word 'Reality' Is Meaningless	Manifiestos		A palavra realidade não ter sentido			הבה לאור	2022		
ניל פרגוסון	Niall Ferguson		en	ציביליזציה: המערב וכל השאר	Civilization: The West and the Rest	Civilización: Occidente y el resto					עם עובד	2013		
ג׳ונתן פרנזן	Jonathan Franzen		en	טוהר	Purity	Pureza					עם עובד	2017		
ג׳ונתן פרנזן	Jonathan Franzen		en	העיר העשרים ושבע	The Twenty-Seventh City	Ciudad veintisiete					עם עובד	2018		
אנטוב צ׳כוב	Anton Chekhov	Antón Chéjov	ru	השחף	The Seagull	La gaviota				Чайка	תאטרון באר־שבע	2009		
מרטין קוהן	Martín Kohan		es	חשבונות פתוחים	Pending Accounts	Cuentas pendientes					תשע נשמות	2019		
קלייר קיגן	Claire Keegan		en	ללכת בשדות הכחולים	Walk the Blue Fields	Recorre los campos azules					זיקית	2015		
האנס קיילסון	Hans Keilson		de	מותו של היריב	The Death of the Adversary	La muerte del adversario	Der Tod des Widersachers				כתר	2013		
כריסטופר קְלֶבּלֶה	Christopher Kloeble		de	בדרך כלל הכול מהר	Almost Everything Very Fast	A menudo todo muy rápido	Meistens alles sehr schnell				כתר	2013		
אגוטה קריסטוף	Ágota Kristóf	Agota Kristof	fr	האנאלפביתית	The Illiterate	La analfabeta			L'analphabète		תשע נשמות	2021		
גבריאל ממאני מגנה	Gabriel Mamani Magne		es	החטוף	The Hostage	El rehén					לוקוס	2023		
דייוויד מרקסון	David Markson		en	פילגשו של ויטגנשטיין	Wittgenstein's Mistress	La amante de Wittgenstein	Wittgensteins Mätresse		La maîtresse de Wittgenstein		הבה לאור	2023		
רפאל פינדו	Rafael Pinedo		es	פּלוֹפּ	Plop	Plop	Plop	Plop	Plop		תשע נשמות	2017		
ורנר הרצוג	Werner Herzog		de	דמדומי העולם	The Twilight World	El crepúsculo del mundo	Das Dämmern der Welt		Le crépuscule du monde		בבל			
אורורה ונטוריני	Aurora Venturini		es	הדודניות	Cousins	Las primas					לוקוס			
דנטון ולץ׳	Denton Welch		en	עלם	In Youth is Pleasure	En la juventud está el placer	Freuden der Jugend		Soleils brillants de la jeunesse		אפרסמון	2023		
לורן בינה	Laurent Binet		fr	ציוויליזציות	Civilisations	Civilizaciones	Eroberung	Civilizações	Civilizations		עם עובד	2023		
בריס דיג׳יי פנקייק	Breece D'J Pancake		en	סיפורי בריס דיג׳יי פנקייק	The Stories of Breece D'J Pancake	Trilobites	Liebe ist Nuttengerede		Qu'arrivera-t-il au bois sec ?		עם עובד			
יהודה פרל ודיינה מקנזי	Judea Pearl, Dana Mackenzie		en	ספר המה ולמה	The Book of Why	El libro del porqué		O Livro do Porquê			זמורה־ביתן	2023		
טובה פרידמן ומלקולם ברבנט	Tova Friedman, Malcolm Brabant		en	הילדה מאושוויץ	The Daughter of Auschwitz	La hija de Auschwitz	Ich war das Mädchen aus Auschwitz				זמורה־ביתן			
