355041	Happy birthday, Muiriel!
1283*	The password is "Muiriel".
1009347*	I'll return immediately.
349064*	I don't know.
1009345*	I don't know what I should say.
1287*	This is never going to end.
36019*	What should I say?
1290*	I was in the mountains.
1009352*	I don't know if there is time.
328546*	For some reason the microphone didn't work earlier.
1009351	I make 100 euros per day.
915342*	I may give up soon and just take a nap.
1009350	That's because you don't want to be alone.
1009349*	That sort of thing won't happen.
1009348*	He's strange sometimes.
1304	I'll do my best not to disturb your studying.
1306	I suppose it's different when you think about it over the long term.
1308*	I miss you.
1009357	I'll call after going home tomorrow.
1009356	I always liked strange personalities.
1311*	You should sleep.
2247573*	I will go.
1313*	I told them to send me another ticket.
1009354*	You really annoy me.
1315*	I can't live that kind of life.
1316*	I once wanted to be an astrophysicist.
1317*	I never liked biology.
1318*	The last person I told my idea to thought I was nuts.
1320	It is unfortunately true.
1322*	Most people think I'm crazy.
2505024*	That's my line.
373216*	Really?
1327	Then there is a problem...
1328	Oh, there's a butterfly!
2249134*	It's not surprising.
1332	For some reason I feel more alive at night.
1333*	It depends on the context.
270147*	Are you kidding?
1337*	When I grow up, I want to be a king.
1586987	If you want to earn money, America is the best.
1023662*	I'm extremely fat.
1473574	And now, what?
1341	I'm gonna shoot him.
1343	I'm just saying!
1344*	That was probably what influenced their decision.
1345*	I've always wondered what it'd be like to have siblings.
1346	This is what I would have said.
1347*	It would take forever for me to explain everything.
1348	That's because you're a girl.
1349	Sometimes I can't help showing emotions.
1353*	Let's consider the worst that could happen.
1354*	How many close friends do you have?
502319*	That's how it is.
1357*	I think it is best not to be impolite.
1358	One can always find time.
1360*	Back in high school, I got up at 6 a.m. every morning.
1363	I thought you liked to learn new things.
1366*	In order to do that, you have to take risks.
1367	Every person who is alone is alone because they are afraid of others.
1368*	Why do you ask?
1370	I can't tell her now. It's not that simple anymore.
1372*	Whenever I find something I like, it's too expensive.
1373*	How long did you stay?
1374	Maybe it will be exactly the same for him.
1375	Innocence is a beautiful thing.
1376*	Humans were never meant to live forever.
1897793*	That's interesting.
1467398	Are you saying you intentionally hide your good looks?
1382	If anyone was to ask what the point of the story is, I really don't know.
1383*	I didn't know where it came from.
1384	I think my living with you has influenced your way of living.
1385*	This is not important.
1386*	I didn't like it.
